age_months,path_score,lu,fold change,Tissue
3,4,780,1,Salivary
4,4,7777,1.3,Salivary
4,4,352234,58.4,Salivary
4.8,1,2112.6,4.8,Salivary
4.8,1,36827,84.2,Salivary
5,4,139834,187.4,Salivary
6.3,0,239456,215.7,Salivary
6.3,0,193636,174.4,Salivary
6.3,2,171292,154.3,Salivary
8,0,110720,148.4,Salivary
8,4,70706,94.8,Salivary
10,0,134429,180.2,Salivary
11.5,0,148349,284.2,Salivary
11.6,3,141270,270.6,Salivary
11.8,1,156124,299.1,Salivary
19.1,1,49418,108.08,Salivary
15.8,0,120798,288.4,Salivary
15.8,2,147000,350.9,Salivary
16.3,1,132490,316.3,Salivary
16.7,0,131534,314,Salivary
18.4,2,87177,208.1,Salivary
16.4,2,106958,170.7,Salivary
3,4,48423,171.1,Salivary
3,3,24082,85.1,Salivary
3,4,868,3.1,Salivary
3,0,780,1,Pancreas
4,,7777,1.3,Pancreas
4,0,352234,58.4,Pancreas
4.8,2,2112.6,4.8,Pancreas
4.8,2,36827,84.2,Pancreas
5,,139834,187.4,Pancreas
6.3,0,239456,215.7,Pancreas
6.3,1,193636,174.4,Pancreas
6.3,1,171292,154.3,Pancreas
8,0,110720,148.4,Pancreas
8,1,70706,94.8,Pancreas
10,0,134429,180.2,Pancreas
11.5,0,148349,284.2,Pancreas
11.6,0,141270,270.6,Pancreas
11.8,0,156124,299.1,Pancreas
19.1,0,49418,108.08,Pancreas
15.8,0,120798,288.4,Pancreas
15.8,0,147000,350.9,Pancreas
16.3,0,132490,316.3,Pancreas
16.7,0,131534,314,Pancreas
18.4,0,87177,208.1,Pancreas
16.4,,106958,170.7,Pancreas
3,1,48423,171.1,Pancreas
3,2,24082,85.1,Pancreas
3,2,868,3.1,Pancreas